,Ref,Cosine_Similarity,Cosine_Smiles,Euclidean Distance,Euclidean Smiles,Generate_scores,Generate,Random Scores,Random Generate
679,COc1ccc(cc1)C(=O)N1CCCC1=O,0.06,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,0.06,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,0.19,COc1ccc(CNC(=O)CC2CC3c4cc(NC(=O)CC5CC5)ccc4OC3C(CO)O2)cc1,0.13,CC1(C(=O)NC2CCCCC2)CCc2c(cc3ccccc3c2C(C)(C)C)C1
682,COc1ccc(cc1)C(=O)c1c(C)n(CCN2CCOCC2)c2cc(I)ccc12,0.12,CC(C)NC(=O)N1[C@H](CO)[C@H]([C@@H]1C#N)c1ccc(cc1)C#CC1CCCCC1,0.17,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,0.21,CC(C)(C)c1ccc(C(=O)NCCCN2CCCC2)cc1,0.14,CCCC1(c2ccccc2C(C)(C)C)C(=O)NC(=O)C2CC(C(=O)O)C(c3ccccc3Cl)N21
684,COc1ccc(cc1)S(=O)(=O)N(C)C[C@H]2Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc3CC(=O)N(C[C@H]2C)[C@H](C)CO,0.16,CC(C)CNC(=O)[C@]1(CC(=O)N(CC2(CC3CC4CC(C3)C2)C4)[C@@H]1c5ccc(CO)cc5)c6ccc(cc6)[N+](=O)[O-],0.14,CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,0.32,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2O1,0.16,COc1ccccc1CNC(=O)CC1CCC(NC(=O)c2ccc3c(c2)OCO3)C(CO)O1
692,COc1ccc(cc1COc1ccccc1C)C1Nc2ccccc2C(=O)N1Cc1ccco1,0.03,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=C/CO,0.1,Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1c(Cl)cccc1Cl,0.2,COc1ccccc1CNC(=O)CC1CC2c3cc(NS(=O)(=O)c4ccc(Cl)cc4)ccc3OC2C(CO)O1,0.1,Cc1ccc(NC(=O)c2csc(N)n2)cc1C
693,COc1ccc(cc1NC(=O)c2ccc(cc2)n3nc(C)cc3C)S(=O)(=O)N4CCOCC4,0.12,C(Cn1c2ccccc2c3ccccc13)c4nc5ccccc5[nH]4,0.14,COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1,0.22,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2OC1CN(C)Cc1ccc(F)cc1,0.17,CCCNC(=O)N1CC(C)OCC(OC)C(C)N(C(=O)CC2CC2)Cc2c(NS(=O)(=O)c3c(C)noc3C)cccc2C1=O
695,COc1ccc(cc1OC2CCOC2)C3=Nn4c(nnc4SC3)c5ccccc5C(F)(F)F,0.1,CC(C)(C)NC(=O)[C@H](N(C(=O)c1ccco1)c1ccc(cc1)C(C)(C)C)c1cccnc1,0.14,FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC1CCCCN1,0.21,COc1ccccc1NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccccc1C(F)(F)F)O2,0.1,O=C(CCc1ccccc1)NCCCN(CC(O)c1ccc(F)cc1)C(=O)c1cnccn1
697,COc1ccc2c(=O)c(coc2c1)c3cc4OCOc4cc3OC,0.17,Cc1cc(O)cc2oc3cc(O)cc(O)c3c(=O)c12,0.12,CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,0.15,CCN(CC)C(=O)C1NC2c3ccc(-c4ccccc4OC)c(=O)n3CC2C1CO,0.04,COC(=O)CC1CC(NC(=O)CCN2CCCCC2)CC(CO)O1
698,COc1ccc2c3c([C@@H](CO)N(C[C@]33CCN(CC3)S(=O)(=O)c3ccc(C)cc3)S(=O)(=O)c3ccc(C)cc3)n(C)c2c1,0.12,Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,0.09,CNCCCCOc1ccccc1Cc1ccccc1,0.19,CC1CN(C(C)CO)C(=O)c2ccccc2-c2ccccc2COC1CN(C)S(=O)(=O)c1ccc(C(F)(F)F)cc1,0.13,CN(C)C(=O)c1ccc(NC(=O)CCNC(=O)c2ccc(NC(=O)c3ccc(NC(=O)c4ccc(NC(=O)c5ccc(O)cc5)cc4)cc3)cc2)cc1
699,COc1ccc2c3c([C@@H](CO)NC[C@]33CCN(CC3)S(=O)(=O)c3ccc(C)cc3)n(C)c2c1,0.15,C[C@H]1CN(CCCn2c3ccccc3c3ccccc23)C[C@@H](C)N1,0.15,C[C@H]1CN(CCCn2c3ccccc3c3ccccc23)C[C@@H](C)N1,0.2,COc1ccc(CNC(=O)CC2CC3c4cc(NS(=O)(=O)c5ccc(F)cc5)ccc4OC3C(CO)O2)cc1,0.13,CN(C)CC=C1C(=O)C(=O)N(Cc2ccccc2)C1Cc1ccccc1
700,COc1ccc2c3c([C@H](CO)N(Cc4ccc(Cl)cc4)C[C@]33CN(CC4CC4)C3)n(C)c2c1,0.15,N#Cc1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(Cc3ccccc3)C[C@@H]1N2,0.16,CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,0.18,COc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C(C)CO)CC(C)C(CN(C)C(=O)CCC(F)(F)F)O3)cc1,0.11,CC(C)(C)c1c(O)ccc(C(=O)NC2CN(CCO)C(=O)C2=O)c1O
702,COc1ccc2c3c([nH]c2c1)[C@H](CO)N(CC1CC1)C[C@]31CCN(CC1)C(=O)Nc1cccc(F)c1,0.16,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)C2CCCCC2)OCCCC[C@H](C)Oc3ccc(NS(=O)(=O)c4ccccc4)cc3C1=O,0.14,CCc1ccc(OCC(=O)Nc2nnc[nH]2)cc1,0.21,CC1CN(C(C)CO)C(=O)Cc2cc(NC(=O)Nc3ccccc3F)ccc2OC1CN(C)CC1CC1,0.07,CNCC1OC(=O)C(C)S(=O)(=O)N(C(C)CO)CC1C
703,COc1ccc2nccc(C(O)C3CC4CCN3CC4C=C)c2c1,0.16,O[C@H]([C@H]1CCCCN1)c2cc(nc3c(cccc23)C(F)(F)F)C(F)(F)F,0.1,CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,0.17,COc1cccc(CNC(=O)CC2CCC3C(COCC(O)CN3C(=O)c3cccc(F)c3)O2)c1,0.12,CCOC(=O)C1CC2(CO)C3=C(C)C=CC(c4c(OC)ccc(OC)c4OC)N3CC1N2C(=O)NC(C)C
704,COc1ccc2nccc([C@@H](O)[C@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)c2c1,0.74,CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,0.12,Oc1ccc(cc1)C=Cc1cc(O)cc(O)c1,0.15,CC1CCCCOC(CN(C)C(=O)c2cccnc2)C(C)CN(C(C)CO)C(=O)c2cc(N(C)C)ccc2O1,0.08,CC(C)(CC(c1ccc(F)cc1)c1ccc(C(C)(C)C)cc1)C(=O)Nc1cccc(C(=O)Nc2cccc(C(=O)NCCCN3CCN(Cc4cccc(C(C)(C)C)c4)CC3)n2)c1
705,COc1ccc2nccc([C@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,0.13,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(CC=C)C1,0.1,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)COc1c(C)cccc1C)Cc1ccccc1,0.16,COc1cccc(C(=O)NC2C=CC(CC(=O)N3CCC(Cc4ccccc4)CC3)OC2CO)c1,0.01,NC(=O)CC(=O)NC(CC(=O)O)C(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NC(CC(=O)O)C(N)=O
706,COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,0.15,COc1ccc2CC3N(CCc4cc(OC)c(OC)cc34)Cc2c1OC,0.15,COc1ccc2CC3N(CCc4cc(OC)c(OC)cc34)Cc2c1OC,0.18,COc1ccc(C(=O)c2ccc(F)cc2)c(O)c1,0.05,Cc1cccc(C)c1NC(=O)CNC(=O)C(Cc1ccc(F)cc1)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC=O
707,COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)c2c1,0.1,CCOC(=O)c1cncn1C(C)c1ccccc1,0.13,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.15,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C)C(C)C(OC)CCN(Cc1ccccn1)C(C)CO2,0.1,COC(CN(C)Cc1ccc(-c2cccnc2)cc1)C(C)CN(C(=O)Nc1ccc(F)cc1)C(C)CO
716,COc1cccc(NC(=S)N=S(=O)(C)c2ccccc2)c1,0.11,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+](=O)[O-],0.13,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1,0.2,COc1ccccc1C(=O)Nc1ccc2c(c1)C1CC(CC(=O)NCCc3ccccc3)OC(CO)C1O2,0.14,COC(CN(C)S(=O)(=O)c1ccc(C)cc1)C(C)CN(Cc1ccc(Cl)c(N(C)C)c1)C(C)CO
717,COc1cccc(OC)c1NC(=O)c1ccc(o1)-c1cc(Cl)ccc1Cl,0.08,C1Cc2c(CN1)[nH]c3ccccc23,0.12,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.16,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(-c3ccccc3)cc1)O2,0.18,COc1ccccc1CN(C)CC1Oc2ccc(NC(=O)CCC(F)(F)F)cc2C(=O)N(C(C)CO)CC1C
721,COc1cccc(c1)-c1ccc2[C@@H]3[C@H](Cn2c1=O)[C@@H](CO)[C@@H](N3C)C(=O)NCCN1CCCCC1,0.17,CC(C)NC(=O)Nc1ccc2O[C@H](C)CCCCO[C@H](CN(C)CC3CCCCC3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1,0.16,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.27,COc1ccc(C(=O)N2C3Cn4c(ccc(-c5cncnc5)c4=O)C2C(CO)C3C(=O)NCc2ccc(F)cc2)cc1,0.17,CC1CCCCOC(CN(C)CC2CCCCC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2O1
722,COc1cccc(c1)-c1ccc2[C@H]3[C@@H](Cn2c1=O)[C@H](CO)[C@H](N3C)C(=O)NCCN1CCCCC1,0.11,Fc1ccc(NC(=O)Nc2nnc(s2)-c2ccncc2)cc1C(F)(F)F,0.06,CC(O)Cn1c(C)ncc1[N+]([O-])=O,0.19,COc1ccc(CN(C)CC2OCc3cn(nn3)CCCC(=O)N(C(C)CO)CC2C)cc1,0.13,COC1CN(C)CC(=O)COc2c(NS(=O)(=O)CC(F)(F)F)cccc2N(S(=O)(=O)c2c(C)c(C)c(C)c(C)c2C)C(C)C1C
735,COc1cccc(c1)c2ccc3ncnc(NCc4cccnc4)c3c2,0.53,Cc1cccc(CNc2ncnc3ccc(cc23)c4ccoc4)c1,0.12,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,0.26,CC(C)(C)c1ccc(-c2cnc3nc(-c4cccnc4)nc(-c4ccccc4F)c3c2)cc1,0.05,COc1cc(CN2C(c3cc(OC)c(OC)c(OC)c3OC)C(=O)C(C)C(=O)N(C)CC(=O)COCC3CCC(OC)C(O3)C(=O)C2c2cc(OC)c(OC)c(OC)c2OC)c(OC)c(OC)c1OC
744,COc1ccccc1C#Cc2ccc3c(O[C@@H](CN(C)Cc4cccnc4)[C@@H](C)CN([C@@H](C)CO)S3(=O)=O)c2,0.2,CCCC#Cc1cnc2O[C@H](CN(C)C(=O)CCN3CCCCC3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1,0.07,NC(=O)c1cccc(N)c1,0.28,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)Cc1cccc(C(F)(F)F)c1,0.04,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCc1ccc(OC)cc1
745,COc1ccccc1C#Cc2ccc3c(O[C@@H](CN(C)Cc4cccnc4)[C@@H](C)CN([C@H](C)CO)S3(=O)=O)c2,0.29,COc1ccc(NC(=O)Nc2cccc3C(=O)N(C[C@H](C)[C@@H](CN(C)Cc4ccc5OCOc5c4)Oc23)[C@@H](C)CO)cc1,0.11,CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,0.44,CC(C)NC(=O)Nc1ccc2c(c1)OC(CN(C)Cc1ccccn1)C(C)CN(C(C)CO)S2(=O)=O,0.2,CC(NC(=O)CC1CC2c3cc(NC(=O)Nc4ccncc4)ccc3OC2C(CO)O1)c1ccccc1
746,COc1ccccc1C#Cc2ccc3c(O[C@@H](CN(C)Cc4cccnc4)[C@H](C)CN([C@@H](C)CO)S3(=O)=O)c2,0.27,COc1ccccc1CNC(=O)C[C@@H]2C[C@@H]3[C@@H](Oc4ccc(NC(=O)c5cccnc5)cc34)[C@H](CO)O2,0.08,CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O,0.65,CC1CN(C(C)CO)S(=O)(=O)c2ccc(C#Cc3ccccc3F)cc2OC1CN(C)Cc1ccccn1,0.18,COc1ccc(S(=O)(=O)N(C)CC2OC(CN(C)S(=O)(=O)c3cn(C)cn3)C=CN(C(C)CO)CC(=O)C3CN(CC2=O)N=N3)cc1
747,COc1ccccc1C#Cc2ccc3c(O[C@@H](CN(C)Cc4cccnc4)[C@H](C)CN([C@H](C)CO)S3(=O)=O)c2,0.43,COCC(=O)N(C)C[C@H]1Oc2cc(ccc2S(=O)(=O)N(C[C@H]1C)[C@@H](C)CO)c3ccccc3F,0.28,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C)Oc2ccc(NC(=O)Nc3ccccc3)cc2C1=O,0.29,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.12,NC(CCc1ccccc1)C(=O)O
748,COc1ccccc1C#Cc2ccc3c(O[C@H](CN(C)Cc4cccnc4)[C@@H](C)CN([C@@H](C)CO)S3(=O)=O)c2,0.2,CCCC#Cc1cnc2O[C@H](CN(C)C(=O)CCN3CCCCC3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1,0.07,C[C@@]1(CCCN1)c1nc2c(cccc2[nH]1)C(N)=O,0.42,CC1CN(C(C)CO)S(=O)(=O)c2ccc(-c3ccccc3C(=O)N(C)C)cc2OC1CN(C)C(=O)c1ccncc1,0.15,CCCNC(=O)CC1OCC(CO)CC1C(C)NC(=O)Cc1ccccc1
749,COc1ccccc1C#Cc2ccc3c(O[C@H](CN(C)Cc4cccnc4)[C@@H](C)CN([C@H](C)CO)S3(=O)=O)c2,0.2,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccccc2C(F)(F)F)OCc3cnnn3CCCC1=O,0.42,CC(C)NC(=O)N(C)C[C@H]1Oc2cc(C#C[C@@H](C)O)ccc2S(=O)(=O)N(C[C@@H]1C)[C@H](C)CO,0.27,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.17,CCCNC(=O)NC1C=CC(CC(=O)NCc2ccc(Oc3ccccc3)cc2)OC1CO
750,COc1ccccc1C#Cc2ccc3c(O[C@H](CN(C)Cc4cccnc4)[C@H](C)CN([C@@H](C)CO)S3(=O)=O)c2,0.27,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Cc4ccccc4)cc3C1=O,0.17,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.48,COc1ccccc1NC(=O)N(C)CC1Oc2cc(C#CCC3CCCC3)ccc2S(=O)(=O)N(C(C)CO)CC1C,0.01,C=O
751,COc1ccccc1C#Cc2ccc3c(O[C@H](CN(C)Cc4cccnc4)[C@H](C)CN([C@H](C)CO)S3(=O)=O)c2,0.07,Clc1ccc(/C=C/C(=O)NC2=NCCS2)cc1Cl,0.07,Clc1ccc(/C=C/C(=O)NC2=NCCS2)cc1Cl,0.3,CCCCCC#Cc1cnc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1cccc(C(=O)O)c1)O2,0.13,O=C1C=C(c2ccccc2)C(O)C(=O)C1
752,COc1ccccc1CN1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(cc1)-c1ccc(cc1)C#N,0.22,Cc1cccc(c1)S(=O)(=O)N1C[C@H](O)COC[C@H]2O[C@H](CC(=O)Nc3ccc(cc3)-c3ccccc3)CC[C@H]12,0.18,Oc1ccc(cc1)-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1,0.22,COc1ccc(S(=O)(=O)N(C)CC2Oc3cc(-c4ccc(F)cc4)ccc3S(=O)(=O)N(C(C)CO)CC2C)cc1,0.2,O=C(CC1CCC2C(COCC(O)CN2C(=O)c2cccnc2)O1)NCc1ccc(-c2ccccc2)cc1
756,COc1oc(=O)c2cc(N)ccc2c1Cl,0.05,CCCC[C@@H](C)/C=C(C)/C=C(C)/C(=O)NC1=C[C@@](O)(C=CC=CC=CC(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O,0.05,CCCC[C@@H](C)C=C(C)C=C(/C)C(=O)NC1=C[C@@](O)(C=CC=CC=CC(=O)NC2C(=O)CCC2=O)[C@@H]2OC2C1=O,0.13,CC(C)(C)c1ccc(C(=O)c2ccc(O)c(O)c2)cc1,0.11,COC1CCC2CCOc3ccc(C#N)cc3C(=O)N(C)CC(OC)C(C)C(=O)N(C)CC1O2
758,CS(=O)(=O)C(=Cc1cccn1S(=O)(=O)c1cccc2ccccc12)C#N,0.1,CC(=O)Nc1ccc(cc1)C(C)=NNC(=O)C1CCCC1,0.13,CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,0.17,CC(C)(C)c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(C(=O)O)cc2)cc1,0.15,CCN(CC)CCCNC(=O)CCNC(=O)Cc1ccccc1OCc1ccccc1F
760,CS(=O)(=O)c1ccc(cc1[N+]([O-])=O)C(=O)OCC(=O)N1CCOCC1,0.1,NS(=O)(=O)C#Cc1ccccc1,0.1,NS(=O)(=O)C#Cc1ccccc1,0.14,CCCNC(=O)N1CC(C)C(OC)CN(C)C(=O)c2cc(NC(=O)c3ccc(OC)cc3)ccc2OCC1C,0.18,O=C(CC1CCC(NC(=O)CN2CCOCC2)C(CO)O1)NCc1ccc2c(c1)OCO2
761,CSc1nc(nc(n1)c2ccccc2)C(C)C,0.19,c1nc(cs1)-c1nc2ccccc2[nH]1,0.1,Oc1ccc(cc1)C=Cc1cc(O)cc(O)c1,0.15,CCCCNc1nc(-c2ccccn2)nc2ccc(-c3ccccc3C(=O)NCCO)cc12,0.03,CN(C)C(=O)CC1CC2C(CO1)N(C)CC(=O)COC2(C)C
762,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,0.17,Nc1nc(N)nc(n1)-c1cc(Cl)ccc1Cl,0.11,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0.12,CC1CN(C(C)CO)C(=O)CCCn2nncc2COC1CN(C)Cc1ccc(Cl)c(Cl)c1,0.07,CCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCCC(=O)Nc1ccc(Cl)c(Cl)c1
764,CSc1sc(C(=O)NN)c2CCCC(O)c12,0.07,CSCCC(N)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,0.09,O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12,0.1,CNCC1OCCCCC(C)Oc2ccc(NC(=O)CCCN(C)C)cc2C(=O)N(C(C)CO)CC1C,0.02,CCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCNC(=O)c1ccc(N)cc1
767,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)CCN(C)C)OCc2ccccc2-c3c(C1=O)n(C)c4ccccc34,0.62,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2cccc(C#N)c2)OCc3ccccc3-c4c(C1=O)n(C)c5ccccc45,0.26,CCCC#Cc1ccc2c(O[C@H](CN(C)C(=O)Nc3ccccc3F)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.41,CC1CN(C(C)CO)C(=O)c2ccccc2-c2ccccc2COC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.18,COc1ccc(S(=O)(=O)Nc2ccc3c(c2)OCC(C)N(C(=O)c2cccnc2)CC(C)C(OC)CN(C)C3=O)cc1
769,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2c(C)noc2C)Oc3ccc(NC(=O)Cc4ccccc4)cc3C1=O,0.71,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2c(C)noc2C)Oc3ccc(NC(=O)CCC(F)(F)F)cc3C1=O,0.13,CC(C)Cc1ccc(cc1)C(C)C(O)=O,0.4,CC(C)NC(=O)N(C)CC1OCCCCC(C)Oc2ccc(NC(=O)CCCN(C)C)cc2C(=O)N(C(C)CO)CC1C,0.11,CCCNC(=O)CC1C=CC(NC(=O)C2CCCCC2)C(CO)O1
775,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)c2ccncc2)OCCCC[C@@H](C)Oc3ccc(NC(=O)c4ccccc4)cc3C1=O,0.19,CN(Cc1ccccc1)C(=O)C2CCCN(Cc3ccccc3C(F)(F)F)C2,0.19,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(O)=O,0.72,CC1CCCCOC(CN(C)Cc2ccccn2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1,0.01,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC
776,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)c2ccncc2)OCCCC[C@H](C)Oc3ccc(NC(=O)c4ccccc4)cc3C1=O,0.57,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CC2)OCCCC[C@@H](C)Oc3ccc(NC(=O)Nc4ccccc4)cc3C1=O,0.12,CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,0.48,CC1CCCCOC(CN(C)CC2CC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2O1,0.14,Cc1ccccc1CNC(=O)CC1OC(NC(=O)CC2CC2)C(CO)C(O)C1O
777,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O,0.18,COc1ccccc1S(=O)(=O)N[C@H]1C=C[C@H](CC(=O)N2CCCCC2)O[C@H]1CO,0.39,CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)C(=O)NC3CCCCC3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1,0.51,COc1cccc(S(=O)(=O)N(C)CC2OCCCCC(C)Oc3ccc(NC(=O)CCC(F)(F)F)cc3C(=O)N(C(C)CO)CC2C)c1,0.09,CCCNC(=O)NCCC1C(CO)C(C#N)N1C(=O)Cc1cccnc1
778,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O,0.13,OC[C@@H]1[C@@H]([C@H](C#N)N1C(=O)c1cccc(F)c1)c1ccc(cc1)C1=CCCCC1,0.13,OC[C@@H]1[C@@H]([C@H](C#N)N1C(=O)c1cccc(F)c1)c1ccc(cc1)C1=CCCCC1,0.29,COc1ccccc1NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccccc1C(F)(F)F)O2,0.23,CN(C)C(=O)CC1CC2c3cc(NS(=O)(=O)c4cc(F)c(F)cc4F)ccc3OC2C(CO)O1
781,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(C)cc2)OCc3cn(CCCC1=O)nn3,0.7,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(C)cc2)OCc3cnnn3CCCC1=O,0.25,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)[C@H](C)c2ccccc2)OCc3ccccc3-c4ccccc4C1=O,0.33,CC1CCCCOC(CN(C)Cc2cccnc2)C(C)CN(C(C)CO)C(=O)c2cc(N(C)C)ccc2O1,0.12,CN(C)C(=O)CC12OCCCC1(CO)Oc1cccc(NC(=O)c3c(F)cc(F)c(F)c3F)c12
782,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)C)cccc3C1=O,0.13,COc1ccccc1NC(=O)N1C[C@H](O)COC[C@@H]2O[C@H](CC(=O)N3CCC(Cc4ccccc4)CC3)CC[C@@H]12,0.14,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.34,CC(C)NC(=O)Nc1ccc2c(c1)CC(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(C(F)(F)F)cc1)O2,0.15,CNCCCNC(=O)C1CC2(CO)c3c(C#N)ccc(=O)n3CC1N2S(C)(=O)=O
