Ref.,Morgan Scores (Cos.),Searched Mols (Cos.),Morgan Scores (Euc.),Searched Mols (Euc.),Morgan Scores (Ours),Generated Mols (Ours),Morgan Scores (Pre-trained hierVAE),Generated Mols (Pre-trained hierVAE)
COc1cccc(NC(=S)N=S(=O)(C)c2ccccc2)c1,0.11,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+](=O)[O-],0.13,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1,0.22,COc1ccc(CN(C)c2ccc(C(=O)Nc3ccccc3C#N)cc2)cc1,0.14,COC(CN(C)S(=O)(=O)c1ccc(C)cc1)C(C)CN(Cc1ccc(Cl)c(N(C)C)c1)C(C)CO
COc1cccc(OC)c1NC(=O)c1ccc(o1)-c1cc(Cl)ccc1Cl,0.08,C1Cc2c(CN1)[nH]c3ccccc23,0.12,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.16,O=C(O)c1ccc(-c2c(-c3cccc(C(F)(F)F)c3)ncn2CCOC(=O)c2ccc(F)cc2)cc1,0.18,COc1ccccc1CN(C)CC1Oc2ccc(NC(=O)CCC(F)(F)F)cc2C(=O)N(C(C)CO)CC1C
COc1cccc(c1)-c1ccc2[C@@H]3[C@H](Cn2c1=O)[C@@H](CO)[C@@H](N3C)C(=O)NCCN1CCCCC1,0.17,CC(C)NC(=O)Nc1ccc2O[C@H](C)CCCCO[C@H](CN(C)CC3CCCCC3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1,0.16,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.33,COc1ccc(NC(=O)Nc2ccc3c(c2)C2CC(CC(=O)NCCN4CCCCC4)OC(CO)C2O3)cc1,0.17,CC1CCCCOC(CN(C)CC2CCCCC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2O1
COc1cccc(c1)-c1ccc2[C@H]3[C@@H](Cn2c1=O)[C@H](CO)[C@H](N3C)C(=O)NCCN1CCCCC1,0.11,Fc1ccc(NC(=O)Nc2nnc(s2)-c2ccncc2)cc1C(F)(F)F,0.06,CC(O)Cn1c(C)ncc1[N+]([O-])=O,0.19,COc1ccc(NC(=O)Nc2ccc3c(c2)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc2ccc(F)cc2)OCCCCC(C)O3)cc1,0.13,COC1CN(C)CC(=O)COc2c(NS(=O)(=O)CC(F)(F)F)cccc2N(S(=O)(=O)c2c(C)c(C)c(C)c(C)c2C)C(C)C1C
COc1cccc(c1)c2ccc3ncnc(NCc4cccnc4)c3c2,0.53,Cc1cccc(CNc2ncnc3ccc(cc23)c4ccoc4)c1,0.12,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,0.23,COC1CN(C)C(=O)c2cc(NC(=O)c3cccc(F)c3)ccc2OCC(C)N(Cc2cccnc2)CC1C,0.05,COc1cc(CN2C(c3cc(OC)c(OC)c(OC)c3OC)C(=O)C(C)C(=O)N(C)CC(=O)COCC3CCC(OC)C(O3)C(=O)C2c2cc(OC)c(OC)c(OC)c2OC)c(OC)c(OC)c1OC
COc1ccccc1C#Cc2ccc3c(O[C@@H](CN(C)Cc4cccnc4)[C@@H](C)CN([C@@H](C)CO)S3(=O)=O)c2,0.2,CCCC#Cc1cnc2O[C@H](CN(C)C(=O)CCN3CCCCC3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1,0.07,NC(=O)c1cccc(N)c1,0.34,CC1CN(C(C)CO)C(=O)c2cccc(NC(=O)c3cccnc3)c2OC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.04,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCc1ccc(OC)cc1
COc1ccccc1C#Cc2ccc3c(O[C@@H](CN(C)Cc4cccnc4)[C@@H](C)CN([C@H](C)CO)S3(=O)=O)c2,0.29,COc1ccc(NC(=O)Nc2cccc3C(=O)N(C[C@H](C)[C@@H](CN(C)Cc4ccc5OCOc5c4)Oc23)[C@@H](C)CO)cc1,0.11,CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,0.24,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2O1,0.2,CC(NC(=O)CC1CC2c3cc(NC(=O)Nc4ccncc4)ccc3OC2C(CO)O1)c1ccccc1
COc1ccccc1C#Cc2ccc3c(O[C@@H](CN(C)Cc4cccnc4)[C@H](C)CN([C@@H](C)CO)S3(=O)=O)c2,0.27,COc1ccccc1CNC(=O)C[C@@H]2C[C@@H]3[C@@H](Oc4ccc(NC(=O)c5cccnc5)cc34)[C@H](CO)O2,0.08,CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O,0.32,CC(C)NC(=O)Nc1ccc2c(c1)CC(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(CNc3ccccc3)cc1)O2,0.18,COc1ccc(S(=O)(=O)N(C)CC2OC(CN(C)S(=O)(=O)c3cn(C)cn3)C=CN(C(C)CO)CC(=O)C3CN(CC2=O)N=N3)cc1
COc1ccccc1C#Cc2ccc3c(O[C@@H](CN(C)Cc4cccnc4)[C@H](C)CN([C@H](C)CO)S3(=O)=O)c2,0.43,COCC(=O)N(C)C[C@H]1Oc2cc(ccc2S(=O)(=O)N(C[C@H]1C)[C@@H](C)CO)c3ccccc3F,0.28,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C)Oc2ccc(NC(=O)Nc3ccccc3)cc2C1=O,0.28,CC1CN(C(C)CO)C(=O)Cc2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.12,NC(CCc1ccccc1)C(=O)O
COc1ccccc1C#Cc2ccc3c(O[C@H](CN(C)Cc4cccnc4)[C@@H](C)CN([C@@H](C)CO)S3(=O)=O)c2,0.2,CCCC#Cc1cnc2O[C@H](CN(C)C(=O)CCN3CCCCC3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1,0.07,C[C@@]1(CCCN1)c1nc2c(cccc2[nH]1)C(N)=O,0.5,CC1CN(C(C)CO)S(=O)(=O)c2ccc(-c3ccccc3C(=O)N(C)C)cc2OC1CN(C)Cc1ccncc1,0.15,CCCNC(=O)CC1OCC(CO)CC1C(C)NC(=O)Cc1ccccc1
COc1ccccc1C#Cc2ccc3c(O[C@H](CN(C)Cc4cccnc4)[C@@H](C)CN([C@H](C)CO)S3(=O)=O)c2,0.2,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccccc2C(F)(F)F)OCc3cnnn3CCCC1=O,0.42,CC(C)NC(=O)N(C)C[C@H]1Oc2cc(C#C[C@@H](C)O)ccc2S(=O)(=O)N(C[C@@H]1C)[C@H](C)CO,0.48,CC1CN(C(C)CO)S(=O)(=O)c2ccc(-c3ccccc3C(=O)N(C)C)cc2OC1CN(C)Cc1ccccn1,0.17,CCCNC(=O)NC1C=CC(CC(=O)NCc2ccc(Oc3ccccc3)cc2)OC1CO
COc1ccccc1C#Cc2ccc3c(O[C@H](CN(C)Cc4cccnc4)[C@H](C)CN([C@@H](C)CO)S3(=O)=O)c2,0.27,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Cc4ccccc4)cc3C1=O,0.17,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.31,CCS(=O)(=O)Nc1ccc2c(c1)CC(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(F)cc1)O2,0.01,C=O
COc1ccccc1C#Cc2ccc3c(O[C@H](CN(C)Cc4cccnc4)[C@H](C)CN([C@H](C)CO)S3(=O)=O)c2,0.07,Clc1ccc(/C=C/C(=O)NC2=NCCS2)cc1Cl,0.07,Clc1ccc(/C=C/C(=O)NC2=NCCS2)cc1Cl,0.47,CC1CN(C(C)CO)S(=O)(=O)c2ccc(-c3ccc(C(=O)N(C)C)cc3)cc2OC1CN(C)Cc1ccccn1,0.13,O=C1C=C(c2ccccc2)C(O)C(=O)C1
COc1ccccc1CN1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(cc1)-c1ccc(cc1)C#N,0.22,Cc1cccc(c1)S(=O)(=O)N1C[C@H](O)COC[C@H]2O[C@H](CC(=O)Nc3ccc(cc3)-c3ccccc3)CC[C@H]12,0.18,Oc1ccc(cc1)-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1,0.22,COc1ccc(CN2C3Cn4c(ccc(-c5ccc(F)cc5)c4=O)C2C(CO)C3C(=O)NCCc2ccccc2)cc1,0.2,O=C(CC1CCC2C(COCC(O)CN2C(=O)c2cccnc2)O1)NCc1ccc(-c2ccccc2)cc1
COc1oc(=O)c2cc(N)ccc2c1Cl,0.05,CCCC[C@@H](C)/C=C(C)/C=C(C)/C(=O)NC1=C[C@@](O)(C=CC=CC=CC(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O,0.05,CCCC[C@@H](C)C=C(C)C=C(/C)C(=O)NC1=C[C@@](O)(C=CC=CC=CC(=O)NC2C(=O)CCC2=O)[C@@H]2OC2C1=O,0.14,COC(=O)CC1CCC2C(COc3ccc(NC(=O)c4ccc(Cl)cc4)cc3C(=O)N2C)O1,0.11,COC1CCC2CCOc3ccc(C#N)cc3C(=O)N(C)CC(OC)C(C)C(=O)N(C)CC1O2
CS(=O)(=O)C(=Cc1cccn1S(=O)(=O)c1cccc2ccccc12)C#N,0.1,CC(=O)Nc1ccc(cc1)C(C)=NNC(=O)C1CCCC1,0.13,CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,0.16,CC(C)NC(=O)N(C)CC1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N(C(C)CO)CC1C,0.15,CCN(CC)CCCNC(=O)CCNC(=O)Cc1ccccc1OCc1ccccc1F
CS(=O)(=O)c1ccc(cc1[N+]([O-])=O)C(=O)OCC(=O)N1CCOCC1,0.1,NS(=O)(=O)C#Cc1ccccc1,0.1,NS(=O)(=O)C#Cc1ccccc1,0.13,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2O1,0.18,O=C(CC1CCC(NC(=O)CN2CCOCC2)C(CO)O1)NCc1ccc2c(c1)OCO2
CSc1nc(nc(n1)c2ccccc2)C(C)C,0.19,c1nc(cs1)-c1nc2ccccc2[nH]1,0.1,Oc1ccc(cc1)C=Cc1cc(O)cc(O)c1,0.14,COC1CN(C)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2OCC(C)N(C)CC1C,0.03,CN(C)C(=O)CC1CC2C(CO1)N(C)CC(=O)COC2(C)C
CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,0.17,Nc1nc(N)nc(n1)-c1cc(Cl)ccc1Cl,0.11,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0.12,CCN(CC)C(=O)Cc1c[nH]c2ccccc12,0.07,CCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCCC(=O)Nc1ccc(Cl)c(Cl)c1
CSc1sc(C(=O)NN)c2CCCC(O)c12,0.07,CSCCC(N)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,0.09,O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12,0.09,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1cccnc1)OCCCCC(C)O2,0.02,CCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCNC(=O)c1ccc(N)cc1
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)CCN(C)C)OCc2ccccc2-c3c(C1=O)n(C)c4ccccc34,0.62,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2cccc(C#N)c2)OCc3ccccc3-c4c(C1=O)n(C)c5ccccc45,0.26,CCCC#Cc1ccc2c(O[C@H](CN(C)C(=O)Nc3ccccc3F)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.35,CC1CN(C(C)CO)C(=O)CCCn2nncc2COC1CN(C)C(=O)c1ccccc1-c1ccccc1,0.18,COc1ccc(S(=O)(=O)Nc2ccc3c(c2)OCC(C)N(C(=O)c2cccnc2)CC(C)C(OC)CN(C)C3=O)cc1
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2c(C)noc2C)Oc3ccc(NC(=O)Cc4ccccc4)cc3C1=O,0.71,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2c(C)noc2C)Oc3ccc(NC(=O)CCC(F)(F)F)cc3C1=O,0.13,CC(C)Cc1ccc(cc1)C(C)C(O)=O,0.57,Cc1noc(C)c1NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(C(F)(F)F)cc1)O2,0.11,CCCNC(=O)CC1C=CC(NC(=O)C2CCCCC2)C(CO)O1
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)c2ccncc2)OCCCC[C@@H](C)Oc3ccc(NC(=O)c4ccccc4)cc3C1=O,0.19,CN(Cc1ccccc1)C(=O)C2CCCN(Cc3ccccc3C(F)(F)F)C2,0.19,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(O)=O,0.5,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2O1,0.01,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)c2ccncc2)OCCCC[C@H](C)Oc3ccc(NC(=O)c4ccccc4)cc3C1=O,0.57,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CC2)OCCCC[C@@H](C)Oc3ccc(NC(=O)Nc4ccccc4)cc3C1=O,0.12,CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,0.5,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1cccc(C(F)(F)F)c1)OCCCCC(C)O2,0.14,Cc1ccccc1CNC(=O)CC1OC(NC(=O)CC2CC2)C(CO)C(O)C1O
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O,0.18,COc1ccccc1S(=O)(=O)N[C@H]1C=C[C@H](CC(=O)N2CCCCC2)O[C@H]1CO,0.39,CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)C(=O)NC3CCCCC3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1,0.5,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2O1,0.09,CCCNC(=O)NCCC1C(CO)C(C#N)N1C(=O)Cc1cccnc1
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O,0.13,OC[C@@H]1[C@@H]([C@H](C#N)N1C(=O)c1cccc(F)c1)c1ccc(cc1)C1=CCCCC1,0.13,OC[C@@H]1[C@@H]([C@H](C#N)N1C(=O)c1cccc(F)c1)c1ccc(cc1)C1=CCCCC1,0.51,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCN(C)C)ccc2O1,0.23,CN(C)C(=O)CC1CC2c3cc(NS(=O)(=O)c4cc(F)c(F)cc4F)ccc3OC2C(CO)O1
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(C)cc2)OCc3cn(CCCC1=O)nn3,0.7,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(C)cc2)OCc3cnnn3CCCC1=O,0.25,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)[C@H](C)c2ccccc2)OCc3ccccc3-c4ccccc4C1=O,0.85,COc1ccc(CN(C)CC2OCc3cn(nn3)CCCC(=O)N(C(C)CO)CC2C)cc1,0.12,CN(C)C(=O)CC12OCCCC1(CO)Oc1cccc(NC(=O)c3c(F)cc(F)c(F)c3F)c12
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)C)cccc3C1=O,0.13,COc1ccccc1NC(=O)N1C[C@H](O)COC[C@@H]2O[C@H](CC(=O)N3CCC(Cc4ccccc4)CC3)CC[C@@H]12,0.14,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.37,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2OC1CN(C)Cc1ccc(C(=O)Nc2ccccc2N)cc1,0.15,CNCCCNC(=O)C1CC2(CO)c3c(C#N)ccc(=O)n3CC1N2S(C)(=O)=O
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)c4ccncc4)cc3C1=O,0.34,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc(F)cc2)OCCCC[C@@H](C)Oc3ccc(NS(=O)(=O)c4ccccc4)cc3C1=O,0.14,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.55,CCCC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(C(=O)O)cc1)O2,0.1,CCCCOc1c(OC)cccc1C(=O)O
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(F)(F)F)OCc3cnnn3CCCC1=O,0.71,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2cccc(C)c2)OCc3cnnn3CCCC1=O,0.09,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,1,CC1CN(C(C)CO)C(=O)CCCn2nncc2COC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.03,CCCCCCCCCCCCCCCCCCCC(=O)O
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Nc4c(C)noc4C)cc3C1=O,0.32,COc1ccc(NC(=O)N(C)C[C@H]2Oc3c(NC(=O)NC4CCCCC4)cccc3C(=O)N(C[C@@H]2C)[C@H](C)CO)cc1,0.1,CNCCCCOc1ccccc1Cc1ccccc1,0.54,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2OC1CN(C)Cc1ccc(C(=O)O)cc1,0.12,CC(C)c1ccc2ccn(C)c(=O)c2c1C(C)C
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2cccc(F)c2)Oc3ncc(C#CC(C)(C)O)cc3C1=O,0.36,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)c2ccc3OCOc3c2)Oc4ncc(cc4C1=O)C5=CCCC5,0.11,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.32,CC(C)CC(=O)Nc1ccc2c(c1)CC(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(C(F)(F)F)cc1)O2,0.12,CN(C)C(=O)CC1CCC2C(COCC(O)CN2Cc2ccc(Cl)c(Cl)c2)O1
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)CC(F)(F)F)OCc2ccccc2-c3c(C1=O)n(C)c4ccccc34,0.11,CC1(C)Oc2ccc(cc2[C@@H](OC2=CC(=O)CC2)[C@@H]1O)C#N,0.1,NC(NCc1ccccc1)=N/C(=O)c1nc(Cl)c(N)nc1N,0.77,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)CCCC(F)(F)F,0.16,CN(C)CCOc1ccc(-c2cn(Cc3cccc(F)c3)c(=O)nc2N)cc1
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)Cc2ccccc2)OCc3ccccc3-c4ccccc4C1=O,0.46,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2cn(C)cn2)OCc3ccccc3-c4c(C1=O)n(C)c5ccccc45,0.08,O[C@@H]1CN[C@@H]2CC[C@@H](CC(=O)NCc3ccc4OCOc4c3)O[C@H]2COC1,0.67,CC1CN(C(C)CO)C(=O)c2ccccc2-c2ccccc2COC1CN(C)S(=O)(=O)c1cn(C)cn1,0.15,COc1ccc(-c2c(O)c(C(=O)Nc3cccc(Cl)c3)cc3c2[nH]c2ccccc23)cc1
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2)OCc3cn(CCCC1=O)nn3,0.77,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(cc2)c3ccccc3)OCc4cn(CCCC1=O)nn4,0.52,COc1ccccc1S(=O)(=O)N(C)C[C@H]2OCc3cnnn3CCCC(=O)N(C[C@H]2C)[C@H](C)CO,0.28,CC(C)NC(=O)N(C)CC1OCCCCC(C)Oc2ccc(NC(=O)Cc3ccccc3)cc2C(=O)N(C(C)CO)CC1C,0.14,O=C(Nc1ccccc1C(=O)NCCN1CCOCC1)c1ccc(F)cc1
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)C2CCCCC2)OCc3cnnn3CCCC1=O,0.1,Cc1cccc(c1)S(=O)(=O)N1C[C@@H](O)COC[C@@H]2O[C@H](CC(=O)Nc3ccc(cc3)-c3ccccc3)CC[C@@H]12,0.59,CNC[C@H]1OCc2cnnn2CCCC(=O)N(C[C@@H]1C)[C@H](C)CO,0.51,CC1CN(C(C)CO)C(=O)CCCn2nncc2COC1CN(C)Cc1cccc(C(F)(F)F)c1,0.05,Cc1ccc(C)c(NC(=O)Nc2ccccc2)c1C
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2c(C)noc2C)Oc3ccc(NC(=O)Cc4ccccc4)cc3C1=O,0.46,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccncc2)Oc3ccc(NC(=O)Nc4cccc5ccccc45)cc3C1=O,0.13,Oc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O,0.71,COc1ccc(NC(=O)N(C)CC2Oc3ccc(NC(=O)Cc4ccccc4)cc3C(=O)N(C(C)CO)CC2C)cc1,0.1,O=C(CC1CCC(NC(=O)C2CC2)C(CO)O1)NCCCl
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)c2ccncc2)OCCCC[C@@H](C)Oc3ccc(NC(=O)c4ccccc4)cc3C1=O,0.36,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)[C@H](C)c2ccccc2)OCc3ccccc3-c4ccccc4C1=O,0.19,CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)Nc3c(C)noc3C)cc2OC[C@H](C)NC[C@@H]1C,0.55,CC1CCCCOC(CN(C)C(=O)NC2CCCCC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)NC(C)c3ccccc3)ccc2O1,0.16,CCOc1cccc(C(=O)Nc2nnc(-c3cccnc3)s2)c1
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)c2ccncc2)OCCCC[C@H](C)Oc3ccc(NC(=O)c4ccccc4)cc3C1=O,0.13,O[C@@H]1COC[C@H]2O[C@@H](CC(=O)N3CCOCC3)CC[C@@H]2N(C1)C(=O)Nc1cc(Cl)cc(Cl)c1,0.17,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.52,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)C(=O)CCC(F)(F)F)OCCCCC(C)O2,0.2,CCCC(=O)Nc1ccc2c(c1)C(=O)N(C)C1OC(CC(=O)NCCCN3CCOCC3)CCC1CO2
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O,0.53,CC(C)NC(=O)N(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(NC(=O)c3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,0.06,NC(=N)NC(=N)NCCc1ccccc1,0.72,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3cn(C)cn3)ccc2O1,0.19,COC1CC(C)N(C(C)=O)c2c(NS(C)(=O)=O)cccc2OCC(=O)CN(C)C1C
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O,0.48,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccncc2)OCCCC[C@@H](C)Oc3ccc(NC(=O)Nc4ccccc4)cc3C1=O,0.28,C[C@@H](O)C#Cc1cnc2O[C@H](CN(C)C(=O)Cc3ccncc3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1,0.54,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1cccnc1)OCCCCC(C)O2,0.03,CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCCCCCCCCCCCCCC(=O)NCCCCCCCCCCCC(=O)NC(C)C
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(C)cc2)OCc3cn(CCCC1=O)nn3,0.59,COc1cccc(NC(=O)N(C)C[C@@H]2OCc3cn(CCCC(=O)N(C[C@@H]2C)[C@H](C)CO)nn3)c1,0.07,NC(=O)c1cccc(N)c1,0.56,CC1CN(C(C)CO)C(=O)CCCn2nncc2COC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.15,O=C1CCN(Cc2ccc(Cl)cc2)S1(=O)=O
